Index,Library Name
1,Advocates' Library
2,African Heritage Research Library and Cultural Centre
3,Alexandria Library
4,Alice Springs Public Library
5,Allahabad Public Library
6,Allegheny County Library Association
7,Aloghar Library
8,American Memorial Library
9,Ann Arbor District Library
10,Archive for Research in Archetypal Symbolism
11,Argostoli Public Library
12,Arlanza Branch Library
13,Astan Quds Razavi's Central Library
14,Australian National University Library
15,Baltimore County Public Library
16,Barrow-in-Furness Main Public Library
17,Bayerische Staatsbibliothek
18,Beinecke Rare Book and Manuscript Library
19,Beit Ariela
20,Berlin Art Library
21,Berlin Central and Regional Library
22,Berlin State Library
24,Biblioteca de Catalunya
25,Biblioteca Estense
26,Biblioteca Nacional de Chile
27,Biblioteca Nacional de España
28,Biblioteca Nacional de Portugal
29,Biblioteca Nazionale Centrale Firenze
30,Biblioteca Nazionale Centrale Roma
31,Biblioteca Nacional
32,Biblioteca Pública de Pichilemu
33,Bibliotheca Alexandrina
34,Bibliothèque nationale de France
35,Bibliothèque de l'Arsenal
36,Bibliothèque universitaire des langues et civilisations
37,Birmingham Central Library
38,Bizzell Memorial Library
39,Bodleian Library
40,Boston Public Library
41,Botanical Research Institute of Texas
42,British Library
43,British Library of Political and Economic Science
44,Brooklyn Public Library
45,Broward County Library
46,Bugvia library
47,Burton Barr Central Library
48,Cal Poly Pomona University Library
49,Calgary Public Library
50,Cambridge University Library
51,Canada Institute for Scientific and Technical Information
52,Carnegie Library of Pittsburgh
53,Carolina Rediviva
54,Catholic National Library
55,Center for Jewish History
56,Cerritos Millennium Library
57,Changhua City Library
58,Charles V. Park Library
59,Chekhov Library
60,Chetham's Library
61,Chicago Public Library
62,Chincoteague Island Library
63,Chongqing Library
64,Cincinnati Public Library
65,City of Playford Library Service
66,Cleveland Public Library
67,Clinton-Macomb Public Library
68,College of DuPage Library
69,Cologne Public Library
70,Columbia Public Library
71,Columbus Metropolitan Library
73,Contra Costa County Library
74,Cornish Studies Centre
75,Cory Library for Historical Research
76,Bangalore
77,County of Los Angeles Public Library
78,Cuyahoga County Public Library
79,Danish Royal Library
80,David Lubin Memorial Library
81,Detroit Public Library
82,Deutsche Bücherei Leipzig
83,District of Columbia Public Library
84,Doe Library
85,Dr. Mahmud Hussain Library
86,Dr. Vijay Pal Memorial Library
87,Dr Williams's Library
88,Drill Hall Library
89,Duchess Anna Amalia Library
90,Dyal Singh Trust Library
91,Edmonton Public Library
92,Elyachar Central Library
93,Enoch Pratt Free Library
94,"Hyderabad, India"
95,Fairfax County Public Library
96,Family History Library
97,Film Reference Library
98,Folger Shakespeare Library
99,Francis Skaryna Belarusian Library and Museum
100,Frank Melville Jr. Memorial Library
101,Free Library of Philadelphia
102,German Central Library for the Blind
103,German National Library
104,German National Library of Economics
105,German National Library of Medicine
106,German National Library of Science and Technology
108,Glasgow University Library
109,Göttingen State and University Library
110,Grande Bibliothèque du Québec
111,Guangzhou Library
112,Greifswald University Library
113,Halifax Central Library
114,Haskell Free Library and Opera House
115,"Hesburgh Library, Notre Dame, Indiana"
116,Hessian State Library
117,Hershey Public Library
118,Hilandar Research Library
119,Williams Research Center
120,Homer Babbidge Library
121,Hong Kong Central Library
122,Houston Public Library
123,Hummelstown Public Library
124,Huntington Library
125,Illinois State Library
126,Imperial College London Abdus Salam Library
127,Imperial Library of Constantinople
128,International Association of Aquatic and Marine Science Libraries and Information Centers
129,International Library of African Music
130,Jacksonville Public Library
131,James V. Brown Library
132,Jenkins Law Library
133,John Crerar Library
134,John Rylands Library
135,John Rylands University Library
136,"Jubilee Library, Brighton"
137,Kedermister Library
138,Kenton County Public Library
139,Kenton County Public Library
140,Khaliq Dina Hall
141,Knight Library
142,Koninklijke Bibliotheek
143,Leiden University Library
144,Liberei
145,Library of Alexandria
146,Library of Birmingham
147,Library of Congress
148,Library of Parliament
149,Library of Sir Thomas Browne
150,Library of the Russian Academy of Sciences
151,Library of Universiti Sains Malaysia
152,Lied Library
153,Lilly Library
154,Linen Hall Library
155,Lithuanian Technical Library
156,London Library
157,Los Angeles Central Library
158,Louisville Free Public Library
159,Louisville Public Library
160,Ludwigshafen University Library
161,Luís Ángel Arango Library
162,Madan Puraskar Pustakalaya
163,Makerere University Library
164,Malcolm A. Love Library
165,Malek National Library
166,Manchester Central Library
167,Marathon County Public Library
168,Mário de Andrade Library
169,Mark O. Hatfield Library
170,Marsh's Library
171,Martynas Mažvydas National Library of Lithuania
172,Masood Jhandir Research Library
173,Maughan Library
174,McGill University Library
175,Merton College Library
176,Miami-Dade Public Library System
177,Michigan State University Libraries
178,Milli Kütüphane
179,Minneapolis Public Library
180,Mitchell Library
181,Moncton Public Library
182,Montgomery County Public Libraries
183,Moorland-Spingarn Research Center
184,Merri-bek City Libraries
185,Morton Grove Public Library
186,Multnomah County Library
187,Musical Electronics Library
188,National Agricultural Library
189,National Central Library
190,National Central Library
191,National Diet Library
192,National Library of Armenia
193,National Library of Australia
194,National and University Library of Bosnia and Herzegovina
195,National Library of Brazil
196,National Library of Canada
197,National Library of China
198,National Library of India
199,National Library of Iran
200,National Library of Ireland
201,National Library of Israel
202,National Library of Malaysia
203,National Library of Medicine
204,National Library of New Zealand
205,National Library of Nigeria
206,National Library of Pakistan
207,National Library of Public Information
208,National Library of Russia
209,National Library of Scotland
210,National Library of Serbia
211,National Library of South Africa
212,National Library of Wales
213,National Library
214,New Orleans Public Library
215,New York Public Library
216,Newberry Library
217,Nottingham Subscription Library
218,Openbare Bibliotheek Amsterdam
219,"O'Meara Mathematics Library, Notre Dame, Indiana"
220,Orange County Library System
221,Oregon State Library
222,Orlando East Public Library
223,Ottawa Public Library
224,Pack Memorial Library
225,Palm Beach County Library System
226,Park Ridge Public Library
227,Parker Library
228,Peckham Library
229,Peking University Library
230,Pepys Library
231,Perpustakaan Tun Sri Lanang
232,Pikes Peak Library District
233,Plainfield Public Library District
234,Powell Library
235,Prince George's County Memorial Library System
236,Pritzker Military Library
237,Public Library
238,Public Library of Charlotte and Mecklenburg County
239,"Punjab Public Library, Lahore"
240,Quaid-e-Azam Library
241,Queens Library
242,Regenstein Library
243,Regina Public Library
244,Rhodes University Library
245,Rock Island Public Library
246,Robarts Library
247,Royal Danish Library
248,Royal Library of Sweden
249,Ruskin Library
250,Russian State Children's Library
251,Russian State Library
252,Sacramento Public Library
253,St. Louis Public Library
254,Salt Lake City Public Library
255,San Antonio Public Library
256,San Diego County Library
257,San Diego Public Library
258,San Francisco Public Library
259,San José Public Library
260,Santa Clara County Library District
261,Saxon State and University Library Dresden
262,Scarabelli library
263,Schlesinger Library
264,[1]
265,Seattle Central Library
266,Shanghai Library
267,Sichuan Library
268,Smyrna Public Library
269,South San Francisco Public Library
270,Southfield Public Library
271,SS. Cyril and Methodius National Library
272,"State Central Library, Kerala"
273,State Library of New South Wales
274,State Library of Queensland
275,State Library of Victoria
276,State Library of Württemberg
277,Stockholm Public Library
278,Stretford Library
279,Sun Yat-sen Library of Guangdong Province
280,Mumbai
281,Texas A&M University Libraries
283,Topeka & Shawnee County Public Library
284,Toronto Public Library
285,Toronto Reference Library
286,Troy Public Library
287,Twinsburg Public Library
288,Tribhuvan University
289,U. Grant Miller Library
290,University of Central Florida Libraries
291,University of Coimbra General Library
292,University of Florida Library System
294,University of Houston Libraries
295,University of Queensland Library
296,University of South Florida Tampa Library
297,University of Sydney Library
298,University of Zambia Library
299,Valley Library
300,Vancouver Public Library
301,Tool Library
302,Vatican Library
303,Vilnius University Library
304,W.E.B. Du Bois Library
305,Wiener Library for the Study of the Nazi Era and the Holocaust
306,Wellcome Library
307,West German Audio Book Library for the Blind
308,William F. Ekstrom Library
309,William T. Young Library
310,Windhoek Public Library
311,Winnipeg Public Library
312,Wren Library
313,Yale University Library
314,YeungNam University Library
315,Yiu Tung Public Library
316,Younes and Soraya Nazarian Library
317,Zillur Rahman Library
